Chemical Name	CAS #	Formula	Synonyms	Get Report
P-NITROCHLOROBENZENE	100-00-5	C6H4ClNO2	p-Chloronitrobenzene; 4-Chloronitrobenzene; 1-Chloro-4-nitrobenzene; 4-Nitrochlorobenzene; PCNB; PNCB	Get Report 
P-NITROANILINE	100-01-6	C6H6N2O2	para-Aminonitrobenzene; 4-Nitroaniline; 4-Nitrobenzenamine; p-Nitrophenylamine; PNA	Get Report 
TEREPHTHALIC ACID	100-21-0	C8H6O4		Get Report 
P-DINITROBENZENE	100-25-4	C6H4N2O4	"para-Dinitrobenzene; 1,4-Dinitrobenzene"	Get Report 
2-DIETHYLAMINOETHANOL	100-37-8	C6H15NO	"Diethylaminoethanol; 2-Diethylaminoethyl alcohol; N,N-Diethylethanolamine; Diethyl-(2-hydroxyethyl)amine; 2-Hydroxytriethylamine"	Get Report 
VINYLCYCLOHEXENE	100-40-3	C8H12	4-Vinyl cyclohexene	Get Report 
ETHYL BENZENE	100-41-4	C8H10	Ethylbenzol; Phenylethane	Get Report 
STYRENE	100-42-5	C8H8	Ethenyl benzene; Phenylethylen; Styrene monomer; Styrene monomer inhibited; Styrol; Vinyl benzene	Get Report 
BENZYL CHLORIDE	100-44-7	C7H7Cl	Chloromethylbenzene; alpha-Chlorotoluene	Get Report 
N-METHYLANILINE	100-61-8	C7H9N	MA; (Methylamino)benzene; N-Methyl aniline; Methylphenylamine; N-Phenylmethylamine	Get Report 
PHENYLHYDRAZINE	100-63-0	C6H8N2	Hydrazinobenzene; Monophenylhydrazine	Get Report 
N-ETHYL MORPHOLINE	100-74-3	C6H13NO	4-Ethylmorpholine	Get Report 
NITROUS OXIDE	10024-97-2	N2O	Dinitrogen monoxide; Hyponitrous acid anhydride; Laughing gas	Get Report 
SULFUR CHLORIDE	10025-67-9	Cl2S2	Sulfur monochloride; Sulfur subchloride; Thiosulfurous dichloride	Get Report 
PHOSPHORUS OXYCHLORIDE	10025-87-3	Cl3OP	Phosphorus chloride; Phosphorus oxytrichloride; Phosphoryl chloride	Get Report 
PHOSPHORUS PENTACHLORIDE	10026-13-8	Cl5P	Pentachlorophosphorus; Phosphoric chloride; Phosphorus perchloride	Get Report 
OZONE	10028-15-6	O3	Triatomic oxygen	Get Report 
HYDROGEN BROMIDE	10035-10-6	BrH	"Anhydrous hydrogen bromide; Aqueous hydrogen bromide (i.e., Hydrobromic acid)"	Get Report 
CHLORINE DIOXIDE	10049-04-4	ClO2	Chlorine oxide; Chlorine peroxide	Get Report 
"4,4'-METHYLENE BIS(2-CHLOROANILINE)"	101-14-4	C13H12Cl2N2	"DACPM; 3,3'-Dichloro-4,4'-diaminodiphenylmethane; MBOCA; 4,4'-Methylenebis(o-chloro aniline); 4,4'-Methylenebis(2-chlorobenzenamine); MOCA"	Get Report 
METHYLENE BISPHENYL ISOCYANATE (MDI)	101-68-8	C15H10N2O2	"4,4'-Diphenylmethane diisocyanate; MDI; Methylene bis(4-phenyl isocyanate); Methylene di-p-phenylene ester of isocyanic acid"	Get Report 
4-4' METHYLENE DIANILINE	101-77-9	C13H14N2	"4,4'-Diaminodiphenylmethane; para, para'-Diaminodiphenyl-methane; Dianilinomethane; 4,4'-Diphenylmethanediamine; MDA"	Get Report 
DIPHENYL OXIDE (VAPOR)	101-84-8	C12H10O	Diphenyl ether; Diphenyl oxide; Phenoxy benzene; Phenyl oxide	Get Report 
NITRIC OXIDE	10102-43-9	NO	Mononitrogen monoxide; Nitrogen monoxide	Get Report 
NITROGEN DIOXIDE	10102-44-0	NO2	Dinitrogen tetroxide (N2O4); Nitrogen peroxide	Get Report 
FERROCENE	102-54-5	C10H10Fe	bis(Cyclopentadienyl)iron; Ferrocene; Iron dicyclopentadienyl	Get Report 
TRIETHANOLAMINE	102-71-6	C6H15NO3	"2,2',2""-Nitrilotriethanol"	Get Report 
DIBUTYLAMINOETHANOL	102-81-8	C10H23NO	"Dibutylaminoethanol; 2-Dibutylaminoethanol; 2-Di-N-butylaminoethanol; 2-Di-N-butylaminoethyl alcohol; N,N-Dibutylethanolamine"	Get Report 
"COBALT CARBONYL, as Co"	10210-68-1	C8Co2O8	di-mu-Carbonylhexacarbonyldicobalt; Cobalt octacarbonyl; Cobalt tetracarbonyl dimer; Dicobalt carbonyl; Dicobalt Octacarbonyl; Octacarbonyldicobalt	Get Report 
HEPTACHLOR EPOXIDE	1024-57-3	C10H5Cl7O		Get Report 
BORON TRIBROMIDE	10294-33-4	BBr3	Boron bromide; Tribromoborane	Get Report 
P-ANISIDINE	104-94-9	C7H9NO	para-Aminoanisole; 4-Anisidine; p-Methoxyaniline	Get Report 
SEC-BUTYL ACETATE	105-46-4	C6H12O2	sec-Butyl ester of acetic acid; 1-Methylpropyl acetate	Get Report 
CAPROLACTAM (Particulate)	105-60-2	C6H11NO	Aminocaproic lactam; epsilon-Caprolactam; Hexahydro-2H-azepin-2-one; 2-Oxohexamethyleneimine	Get Report 
CAPROLACTAM (Vapor)	105-60-2	C6H11NO	Aminocaproic lactam; epsilon-Caprolactam; Hexahydro-2H-azepin-2-one; 2-Oxohexamethyleneimine	Get Report 
CAPROLACTAM	105-60-2	C6H11NO	Aminocaproic lactam; epsilon-Caprolactam; Hexahydro-2H-azepin-2-one; 2-Oxohexamethyleneimine	Get Report 
ETHYL BUTYL KETONE	106-35-4	CH3CH2CO[CH2]3CH3	Butyl ethyl ketone; 3-Heptanone	Get Report 
P-XYLENE	106-42-3	C8H10	"1,4-Dimethylbenzene; para-Xylene; p-Xylol"	Get Report 
P-CRESOL	106-44-5	C7H8O	para-Cresol; 4-Cresol; p-Cresylic acid; 1-Hydroxy-4-methylbenzene; 4-Hydroxytoluene; 4-Methyl phenol	Get Report 
P-DICHLOROBENZENE	106-46-7	C6H4Cl2	"p-DCB; 1,4-Dichlorobenzene; para-Dichlorobenzene; Dichlorocide"	Get Report 
4-CHLOROANILINE	106-47-8	C6H6ClN	p-Aminochlorobenzene; 1-Amino-4-chlorobenzene; p-Chloroaniline; p-Chlorobenzenamine; 4-Chlorobenazmine	Get Report 
P-TOLUIDINE	106-49-0	C7H9N	4-Aminotoluene; 4-Methylaniline; 4-Methylbenzenamine; 4-Toluidine; Tolylamine	Get Report 
