001-001-00-9	hydrogen	215-605-7	1333-74-0	Flam. Gas 1Press. Gas	H220	GHS02GHS04Dgr	H220	EUH001		U	CLP00
001-002-00-4	aluminium lithium hydride	240-877-9	16853-85-3	Water-react. 1Skin Corr. 1A	H260H314	GHS02GHS05Dgr	H260H314				CLP00/ATP01
001-003-00-X	sodium hydride	231-587-3	7646-69-7	Water-react. 1	H260	GHS02Dgr	H260				CLP00
001-004-00-5	calcium hydride	232-189-2	7789-78-8	Water-react. 1	H260	GHS02Dgr	H260				CLP00
003-001-00-4	lithium	231-102-5	7439-93-2	Water-react. 1Skin Corr. 1B	H260H314	GHS02GHS05Dgr	H260H314	EUH014			CLP00
003-002-00-X	n-hexyllithium	404-950-0	21369-64-2	Pyr. Sol. 1Water-react. 1Skin Corr. 1A	H250H260H314	GHS02GHS05Dgr	H260H250H314	EUH014			CLP00
003-003-00-5	(2-methylpropyl)lithium; isobutyllithium	440-620-2	920-36-5	Pyr. Liq. 1Water-react. 1STOT SE 3Skin Corr. 1AAquatic Acute 1Aquatic Chronic 1	H250H260H336H314H400H410	GHS02GHS05GHS07GHS09Dgr	H260H250H314H336H410	EUH014			ATP01
004-001-00-7	beryllium	231-150-7	7440-41-7	Carc. 1BAcute Tox. 2 *Acute Tox. 3 *STOT SE 3STOT RE 1Skin Irrit. 2Eye Irrit. 2Skin Sens. 1	H350iH330H301H335H372 **H315H319H317	GHS06GHS08Dgr	H350iH330H301H372 **H319H335H315H317				CLP00
004-002-00-2	"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex"			Carc. 1BAcute Tox. 2 *Acute Tox. 3 *STOT SE 3STOT RE 1Skin Irrit. 2Eye Irrit. 2Skin Sens. 1Aquatic Chronic 2	H350iH330H301H335H372 **H315H319H317H411	GHS06GHS08GHS09Dgr	H350iH330H301H372 **H319H335H315H317H411			A	CLP00
004-003-00-8	beryllium oxide	215-133-1	1304-56-9	Carc. 1BAcute Tox. 2 *Acute Tox. 3 *STOT SE 3STOT RE 1Skin Irrit. 2Eye Irrit. 2Skin Sens. 1	H350iH330H301H335H372 **H315H319H317	GHS06GHS08Dgr	H350iH330H301H372 **H319H335H315H317				CLP00
005-001-00-X	boron trifluoride	231-569-5	7637-07-2	Press. GasAcute Tox. 2 *Skin Corr. 1A	H330H314	GHS04GHS06GHS05Dgr	H330H314	EUH014		U	CLP00
005-002-00-5	boron trichloride	233-658-4	10294-34-5	Press. GasAcute Tox. 2 *Acute Tox. 2 *Skin Corr. 1B	H330H300H314	GHS04GHS06GHS05Dgr	H330H300H314	EUH014		U	CLP00
005-003-00-0	boron tribromide	233-657-9	10294-33-4	Acute Tox. 2 *Acute Tox. 2 *Skin Corr. 1A	H330H300H314	GHS06GHS05Dgr	H330H300H314	EUH014			CLP00
005-004-00-6	trialkylboranes			Pyr. Sol. 1Skin Corr. 1B	H250H314	GHS02GHS05Dgr	H250H314			A	CLP00
005-004-01-3	"trialkylboranes, liquid"			Pyr. Liq. 1Skin Corr. 1B	H250H314	GHS02GHS05Dgr	H250H314			A	CLP00
005-005-00-1	trimethyl borate	204-468-9	121-43-7	Flam. Liq. 3Acute Tox. 4 *	H226H312	GHS02GHS07Wng	H226H312				CLP00
005-006-00-7	dibutyltin hydrogen borate	401-040-5	75113-37-0	Muta. 2Repr. 1BAcute Tox. 4 *Acute Tox. 4 *STOT RE 1Eye Dam. 1Skin Sens. 1Aquatic Acute 1Aquatic Chronic 1	H341H360FDH312H302H372 **H318H317H400H410	GHS05GHS08GHS07GHS09Dgr	H302H312H318H317H341H360FDH372 **H410				CLP00/ATP01corr
005-007-00-2	boric acid [1]boric acid [2]	233-139-2 [1]234-343-4 [2]	10043-35-3 [1]11113-50-1 [2]	Repr. 1B	H360FD	GHS08Dgr	H360FD		"Repr. 1B; H360FD: C = 5,5 %"		ATP01/ATP01corr
005-008-00-8	diboron trioxide; boric oxide	215-125-8	1303-86-2	Repr. 1B	H360FD	GHS08Dgr	H360FD		"Repr. 1B; H360FD: C ? 3,1 %"		ATP01
005-009-00-3	tetrabutylammonium butyltriphenylborate	418-080-4	120307-06-4	Skin Sens. 1Aquatic Acute 1Aquatic Chronic 1	H317H400H410	GHS07GHS09Wng	H317H410				CLP00
005-010-00-9	"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate"	422-050-6	118612-00-3	Carc. 2Acute Tox. 4 *Skin Irrit. 2Eye Dam. 1	H351H302H315H318	GHS08GHS05GHS07Dgr	H351H302H315H318				CLP00
005-011-00-4	"disodium tetraborate, anhydrous; boric acid, disodium salt [1]tetraboron disodium heptaoxide, hydrate [2]orthoboric acid, sodium salt  [3]"	215-540-4 [1]235-541-3 [2]237-560-2 [3]	1330-43-4 [1]12267-73-1 [2]13840-56-7 [3]	Repr. 1B	H360FD	GHS08Dgr	H360FD		"Repr. 1B; H360FD: C ? 4,5 %"		ATP01
005-011-01-1	disodium tetraborate decahydrate; borax decahydrate	215-540-4	1303-96-4	Repr. 1B	H360FD	GHS08Dgr	H360FD		"Repr. 1B; H360FD: C ? 8,5 %"		ATP01
005-011-02-9	disodium tetraborate pentahydrate; borax pentahydrate	215-540-4	12179-04-3	Repr. 1B	H360FD	GHS08Dgr	H360FD		"Repr. 1B; H360FD: C ? 6,5 %"		ATP01
005-012-00-X	"diethyl{}{4-[1,5,5-tris(4-diethylaminophenyl)penta-2,4-dienylidene]cyclohexa-2,5-dienylidene}}ammonium butyltriphenylborate"	418-070-1	141714-54-7	Skin Sens. 1Aquatic Acute 1Aquatic Chronic 1	H317H400H410	GHS07GHS09Wng	H317H410				CLP00
